url,sourceTitle,new_lrt,discipline,educationalContext,intendedEndUserRole,typicalAgeRangeFrom,typicalAgeRangeTo,language,keyword,Eingetragen am,KldB (4-stellig),Beruf,ESCO
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOaD8ga75DCcNlVPtPokO9S,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmN1le4jGlEfZzevKBWQ9ANx,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPiXM-O6399a30fNAOn80kW,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPsXomKrdYGyqbwJ48LeGg5,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNlUnZAYhiJMZlA5ptWH61g,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNrrmwyqJFbd_ivlG587dqL,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,080,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPdU0sc15r_Q3YE4LgUTC85,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOhFouDVMB3A2qKuTlJyQ0X,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOBXFsYk6mOZeGHlHTkmCpW,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMMlabZV8x9OuvkqUXN6gnU,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmP2k3YkNSrDjVvyzrfd9-B3,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMsW8Aef4OOFcw9c1A_Yhn5,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmP2k3YkNSrDjVvyzrfd9-B3,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMsW8Aef4OOFcw9c1A_Yhn5,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNeDDS9gA0WuVE28yPq9pyQ,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,120,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMlN0wwv9nq3aa0tJQbBqJ2,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmN-rEv91RgjDyUqNMkVIghJ,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPbLCtmi9b9CgzRxNIeIVLl,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPWhScoDC9sDxBi490_2q5r,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmMQdCfccGVScOgbmfNFG_qH,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,20001,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPQ7Piohz-NXr6575bQi2Ak,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,220,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmOa6LsnuMSy5v0stFXxkgOi,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,220,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmPd89RZoFxJ96g5Sr10iw24,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,220,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNiHGOYn4_0yI_4Zi_dU8Ev,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,220,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
https://www.youtube.com/playlist?list=PLn_RXXE1fMmNeNOlWe1jCRPaGWo_Ic9cS,Die Merkhilfe,7a6e9608-2554-4981-95dc-47ab9ba924de,220,Sekundarstufe 1; Sekundarstufe 2,learner; teacher,10,18,de,,,,,
