inferenced;title;url;discipline;learningResourceType;systematics;discipline systematics;words primary
True;Test Aufbau von Berufen ;https://www.tutory.de/bereitstellung/dokument/0a5280a0-ad3a-46d4-a23e-d7b72b84ede8;;;Anpassung, Bau, Pflege, Berufe;GRUNDSCHULE, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
False;AcI Vorzeitig Gleichzeitig;https://www.tutory.de/bereitstellung/dokument/ce6d8360-74ad-4bc6-bb18-5f5759a02f5e;;;;;;
True;Das Fenster-Theater von Ilse Aichinger;https://www.tutory.de/bereitstellung/dokument/1e4da94b-908d-417f-9eb1-707dd7f3d638;;;Theatersport, Bühne, Theater, Schreiben, Sprechen, Theater;RELIGION, BERUFLICHE BILDUNG, DEUTSCH, SPORT;;
True;Grundfunktionen des Textverarbeitungsprogramms;https://www.tutory.de/bereitstellung/dokument/9ffb8df2-6574-4381-bfa4-57ce8ea1ccd0;;Text;Film, Funk und Fernsehen, Textverarbeitung, Arbeit, Maschinenschreiben, Textverarbeitung, Kurzschrift;PRAXISORIENTIERTE FÄCHER, BERUFLICHE BILDUNG, POLITISCHE BILDUNG;;
True;Müller;https://www.tutory.de/bereitstellung/dokument/4bc36c6f-3e37-47c4-bf79-8e22554ac5e2;;;Abfall;UMWELTGEFÄHRDUNG, UMWELTSCHUTZ;;
True;Test über Ägypten ;https://www.tutory.de/bereitstellung/dokument/fc38ae20-db34-477e-a751-16166f6fb52b;;;Frühe Hochkulturen;GESCHICHTE;;
False;Brüche Kurztest;https://www.tutory.de/bereitstellung/dokument/367312ec-d852-49a8-8f2d-6173bfd7c86b;;;;;;
True;Test Aufbau von Berufen ;https://www.tutory.de/bereitstellung/dokument/3d1ae5d2-c1ca-4d49-bfc8-6266fa89a04b;;;Anpassung, Bau, Pflege, Berufe;GRUNDSCHULE, ELEMENTARBEREICH, VORSCHULERZIEHUNG;;
False;Rätsel Campus 2.2;https://www.tutory.de/bereitstellung/dokument/db458855-15bd-451f-b443-8995e69e7ecc;;;;;;
True;Wiederholung: Redoxreaktionen;https://www.tutory.de/bereitstellung/dokument/a8815e5b-f436-43cd-83ba-5bba818be7d9;;;Redoxreaktionen;CHEMIE;;
False;Lehrerfeedback;https://www.tutory.de/bereitstellung/dokument/ebdc7cc4-d3d5-4531-88a0-187deac20caf;;;;;;
False;Addition & Subtraktion im ZR 100;https://www.tutory.de/bereitstellung/dokument/38fe36e8-1d58-4b38-95c8-5374850d3742;;;;;;
True;Rechnen mit rationalen Zahlen;https://www.tutory.de/bereitstellung/dokument/1162d8b5-910f-4b96-95d0-97985a96a45b;;;Zahlen, Grundrechenarten, Zahlen, Algebra;MATHEMATIK, GRUNDSCHULE;;
False;Vocabulary test no.3 (p.213);https://www.tutory.de/bereitstellung/dokument/2c0f2eab-a1e2-4a42-8c12-c3788bf2c272;;;;;;
True;Eskaltionsstufen der Judenverfolgung;https://www.tutory.de/bereitstellung/dokument/6e1c1f4a-95e4-4dbb-a9d8-ea8bbb2f2554;;;Verfolgung;GESCHICHTE;;
False;Vocabulary test no2 (p.212);https://www.tutory.de/bereitstellung/dokument/fa04da44-d032-48c0-bae6-7a2da132b91d;;;;;;
True;Wie ernähren sich Pflanzen?;https://www.tutory.de/bereitstellung/dokument/56b4d022-97d0-41b3-8376-25e713ffa492;;;Ernährung, Ernährung, Schutz und Sicherheit;GESUNDHEIT, BERUFLICHE BILDUNG;;
True;Mikrofortbildung WirLernenOnline;https://www.tutory.de/bereitstellung/dokument/fec613f8-7034-48d3-a364-6d3beb5a6ac3;;Bild;Berufsweg, Fort- und Weiterbildung;ARBEITSLEHRE;;
True;Mikrofortbildung WirLernenOnline;https://www.tutory.de/bereitstellung/dokument/2a6f8558-3f7b-4133-ba68-06f341e1f83f;;Bild;Berufsweg, Fort- und Weiterbildung;ARBEITSLEHRE;;
True;Stationsarbeit zur Optik;https://www.tutory.de/bereitstellung/dokument/6b98f4b6-9c00-49fa-a625-36dfe4ee0be2;;;Arbeit, Optik, Farbenlehre;BERUFLICHE BILDUNG, POLITISCHE BILDUNG;;
True;Stationsarbeit zur Optik;https://www.tutory.de/bereitstellung/dokument/98cbd7f0-2184-4b4c-b7fe-79fa487524c1;;;Arbeit, Optik, Farbenlehre;BERUFLICHE BILDUNG, POLITISCHE BILDUNG;;
True;Stationsarbeit zur Optik;https://www.tutory.de/bereitstellung/dokument/f2c02465-c9f5-492c-ada1-bb631bfec408;;;Arbeit, Optik, Farbenlehre;BERUFLICHE BILDUNG, POLITISCHE BILDUNG;;
True;interaktive Präsentationen;https://www.tutory.de/bereitstellung/dokument/eeee989d-f0fc-45b3-8a78-e9301a4cf6af;;Präsentation;;;;
False;Satzanfänge;https://www.tutory.de/bereitstellung/dokument/912e8815-9b1a-484f-944e-a0d1d6309ad7;;;;;;
True; AB Methode Kubistische Portraits;https://www.tutory.de/bereitstellung/dokument/83f0b06c-4157-4bf8-9f24-e8d765d0a224;;;Methodik, Didaktik, Didaktik und Methodik des Informationsunterrichts, Methoden;INFORMATIONSTECHNISCHE BILDUNG, PÄDAGOGIK;;
True;Station 2: Quader bauen ;https://www.tutory.de/bereitstellung/dokument/5d52e62c-8d9f-4f1c-8fa2-6f9708959b91;;;Anpassung, Bau, Pflege;GRUNDSCHULE;;
