lom.general.title,lom.general.description,lom.general.keyword,lom.technical.location,valuespaces.discipline,valuespaces.learningResourceType
"Klassiker der Exilliteratur: ""Transit"" von Anna Seghers","1940 sammeln sich in Südfrankreich die vor Hitler geflohenen Antifaschisten, Nazigegner und Juden. Wenn sie kein Visum vorweisen können, das sie zur Einreise in ein sicheres Land berechtigt, kommen die Flüchtlinge in Internierungslager und werden der Gestapo ausgeliefert. Zwei Deutsche durchleben in Marseille die Schrecken jener Jahre. 

/ Mit Heidy Forster, Peter Lieck, Christoph Lindert u.a. /Bearbeitung: Bernhard Pfletschinger/ Regie: Wolf Euba// BR/RIAS/NDR 1983// Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter
",,https://www.br.de/mediathek/podcast/hoerspiel-pool/klassiker-der-exilliteratur-transit-von-anna-seghers/1808495,['Deutsch'],['Audio']
"Folge 21: Quelle surprise! - über Preise sprechen, nach dem Datum fragen","In Salers, einem kleinen Städtchen im Bergland der Auvergne, besuchen wir die Malerin Madame Rigoux in ihrem Atelier. Dabei lernen Sie das Verb ""peindre"" (malen) sowie weitere Zukunftsformen kennen.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-21-quelle-surprise-ueber-preise-sprechen-nach-dem-datum-fragen/51270,['Französisch'],['Video']
"Archivschatz über die Marienerscheinung von Lourdes: ""Das Lied von Bernadette"" von Franz Werfel","Als Franz Werfel 1940, geflüchtet vor den Nationalsozialisten, für mehrere Wochen Herberge in Lourdes fand, hörte er die wundersame Geschichte der heiligen Bernadette Soubirous. Er gelobte, falls er die Flucht überlebe, ein Buch über sie zu schreiben: Das an Asthma leidende Mädchen Bernadette hat Mitte des 19.Jahrhunderts eine Heiligenerscheinung. Die Dame trägt ihr auf, eine Quelle zu suchen, die eine heilsame Wirkung hat - Lourdes wird zum Wallfahrtsort.
Mit Robert Graf, Walter Richter, Edith Schultze-Westrum, Solveig Thomas, Ursula Herwig, Joachim Friedrich u.a. / Bearbeitung:  Richard Miller und Fred von Hoerschelmann  / Regie: Heinz-Günter Stamm/ BR 1959 // Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter
",,https://www.br.de/mediathek/podcast/hoerspiel-pool/archivschatz-ueber-die-marienerscheinung-von-lourdes-das-lied-von-bernadette-von-franz-werfel/1808494,['Deutsch'],['Audio']
"Folge 20: Les espions - Fragewort ""quoi"", jemanden vorstellen","Im Tal der Dordogne besuchen wir die Burganlage von Beynac. Unsere Szene spielt zur Zeit des 100-jährigen Krieges und unsere Helden sind französische Spione, die gegen die Engländer einen Plan aushecken.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-20-les-espions-fragewort-quoi-jemanden-vorstellen/51271,['Französisch'],['Video']
"New Yorker Hörspiel-Klassiker: ""Ladies im Hotel"" von Dorothy Parker","Das berühmte «Marlowe» in New York hat seine besten Tage gesehen, so auch seine Dauergäste: vorwiegend alleinstehende Damen unbestimmbaren Alters: Witwen, Geschiedene oder Abgeschobene. Auf den Fluren des Hotels schwärmen sie von reizenden Männern, terrorisieren ihre Kinder, spionieren sich gegenseitig aus und pflegen ihre Lebenslügen.
Mit Helmut Stange, Ruth Hausmeister, Renate Grosser, Christa Berndl, Barbara Nüsse, Louise Martini u.a. / Aus dem Amerikanischen von Friederike Roth / Komposition: Peter Zwetkoff / Bearbeitung und Regie: Irene Schuck / BR 1991 // Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter",,https://www.br.de/mediathek/podcast/hoerspiel-pool/new-yorker-hoerspiel-klassiker-ladies-im-hotel-von-dorothy-parker/1808104,['Deutsch'],['Audio']
"Folge 19: Les élections - Fragepronomen ""lequel"", Verb ""connaître"" (kennen)","Die 19. Etappe unserer ""Tour de France"" führt nach Périgueux in den Südwesten Frankreichs. Guillaume Dumoulin bewirbt sich um das Amt des Bürgermeisters. Auf einer Wahlveranstaltung stellt er sein Programm vor.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-19-les-lections-fragepronomen-lequel-verb-conna-tre-kennen/51272,['Französisch'],['Video']
"""Ein Berg, viele"" - Hörspiel über ein erfundenes Gebirge. Von Magdalena Schrefel","Als sich der britische Geograf James Rennell im ausgehenden 18. Jahrhundert von seinem Lehnstuhl aus den Verlauf des Flusses Niger nicht anders erklären konnte, erfand er das Gebirgsmassiv ""Kong-Berge"". Für die nächsten 150 Jahren tauchten die erdachten Berge in beinahe allen Darstellungen des afrikanischen Kontinents auf. Mit dieser Geschichte verknüpft Magdalena Schrefel die Begegnung einer Hörspielautorin mit dem ""Sandflüchtling"" Ismael, der sie zu einem Lager namens Mount Kong führt. 
 // Mit Leonie Benesch, Richard Djif, Matthias Brandt u.a. /Regie: Teresa Fritzi Hoerl// BR/ORF 2020 // Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter
",,https://www.br.de/mediathek/podcast/hoerspiel-pool/ein-berg-viele-hoerspiel-ueber-ein-erfundenes-gebirge-von-magdalena-schrefel/1808100,['Deutsch'],['Audio']
"Folge 18: Le célibataire - Relativpronomen ""dont"" und ""où""","Nach einem Spaziergang durch Bordeaux besuchen wir den Junggesellen André, der gerade die Heiratsanzeigen im ""Sud-Ouest"", der regionalen Zeitung, studiert. Sie lernen die Zukunftsformen und das Verb ""écrire"" (schreiben) kennen.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-18-le-c-libataire-relativpronomen-dont-und-o/51273,['Französisch'],['Video']
"ARD Radio Tatort ""Die Liebe des Malers zum Modell"" - Tragisches Liebesdrama von Martin Mosebach","Ein totes Modell inmitten einer Fotoinstallation eines Künstlers. Das Modell war über 20 Jahre seine Muse und seine Frau und er beteuert seine Liebe und Unschuld. Nur: seine riesigen Fotos zeigen seine Frau in eben solch schrecklicher körperlicher Verdrehung, wie sie nun tot daliegt. Zusätzlich finden Kommissar Haas und sein Assistent Teschenmacher heraus, dass Cooper eine Affäre mit einer Studentin hat. Ein klarer Fall? // Mit Felix von Manteuffel, Ole Lagerpusch u.a. / Regie: Thomas Wolfertz Produktion / HR 2020// Aktuelle Hörspiel-Empfehlungen per Mail: www.hörspielpool.de/newsletter",,https://www.br.de/mediathek/podcast/hoerspiel-pool/ard-radio-tatort-die-liebe-des-malers-zum-modell-tragisches-liebesdrama-von-martin-mosebach/1805644,['Deutsch'],['Audio']
"Folge 17: La vinothèque - Verb ""mettre"" (legen), Relativpronomen ""qui"",""que""","Im Anbaugebiet der berühmten Médoc-Weine besuchen wir eine Vinothek in Pauillac. Natürlich lernen Sie hier das Verb ""boire"" (trinken) kennen.",,https://www.br.de/mediathek/podcast/bon-courage-franzoesisch/folge-17-la-vinoth-que-verb-mettre-legen-relativpronomen-qui-que/51274,['Französisch'],['Video']
